tic,SP_ENTITY_NAME,SP_ENTITY_ID,SP_BUSINESS_DESCRIPTION,SP_LONG_BUSINESS_DESCRIPTION,SP_TOPICTAG,SP_TICKER,SP_EXCHANGE_TICKER,SP_COMPANY_NAME,_merge,YH_BUS_DESC,SA_BUS_DESC
CULP,"Culp, Inc. (NYSE:CULP)",4911200.0,"Culp, Inc. manufactures, sources, markets, and sells mattress fabrics, sewn covers, and cut and sewn","Culp, Inc. (Culp) manufacturers, sources, and markets mattress fabrics and sewn covers used for cove",,CULP,NYSE:CULP,"Culp, Inc.",both,"Culp, Inc. manufactures, sources, markets, and sells mattress fabrics, sewn covers, and cut and sewn","Culp, Inc. manufactures, sources, markets, and sells mattress fabrics, sewn covers, and cut and sewn"
FIX,"Comfort Systems USA, Inc. (NYSE:FIX)",4990366.0,"Comfort Systems USA, Inc., together with its subsidiaries, provides mechanical and electrical instal","Comfort Systems USA, Inc. provides mechanical and electrical contracting services.

The company oper",Home Improvement; Industrial Automation; Sensors; Smart Building; Contract Management Software; Smart Energy; Process Automation,FIX,NYSE:FIX,"Comfort Systems USA, Inc.",both,"Comfort Systems USA, Inc., together with its subsidiaries, provides mechanical and electrical instal","Comfort Systems USA, Inc., together with its subsidiaries, provides mechanical and electrical instal"
PTC,PTC Inc. (NASDAQGS:PTC),4391244.0,"PTC Inc. operates as software company in the Americas, Europe, and the Asia Pacific. The company pro",PTC Inc. operates as a global software company that enables manufacturers and product companies to d,Software Development; Cloud Management; Machine Learning; Cloud Infrastructure; Cloud Storage; Process Automation; Artificial Intelligence,PTC,NASDAQGS:PTC,PTC Inc.,both,"PTC Inc. operates as software company in the Americas, Europe, and the Asia Pacific. The company pro","PTC Inc. operates as software company in the Americas, Europe, and the Asia Pacific. The company pro"
ITW,Illinois Tool Works Inc. (NYSE:ITW),4992234.0,Illinois Tool Works Inc. manufactures and sells industrial products and equipment in the United Stat,Illinois Tool Works Inc. (ITW) operates as a global manufacturer of a diversified range of industria,Home Improvement; Industrial Automation,ITW,NYSE:ITW,Illinois Tool Works Inc.,both,Illinois Tool Works Inc. manufactures and sells industrial products and equipment in the United Stat,Illinois Tool Works Inc. manufactures and sells industrial products and equipment in the United Stat
BGFV,Big 5 Sporting Goods Corporation (NASDAQGS:BGFV),4067211.0,Big 5 Sporting Goods Corporation operates as a sporting goods retailer in the western United States.,Big 5 Sporting Goods Corporation operates as a sporting goods retailer in the western United States.,Lifestyle; Social Media Advertising; Social Media Marketing; Ad Targeting; Brand Marketing,BGFV,NASDAQGS:BGFV,Big 5 Sporting Goods Corporation,both,Big 5 Sporting Goods Corporation operates as a sporting goods retailer in the western United States.,Big 5 Sporting Goods Corporation operates as a sporting goods retailer in the western United States.
FLEX,Flex Ltd. (NASDAQGS:FLEX),4122208.0,"Flex Ltd. provides manufacturing solutions to various brands in Asia, the Americas, and Europe. It o","Flex Ltd., a multinational technology and manufacturing company, provides design, engineering, manuf",Software Development; Industrial Automation; Smart Energy; Electric Vehicle; Process Automation; Artificial Intelligence,FLEX,NASDAQGS:FLEX,Flex Ltd.,both,"Flex Ltd. provides manufacturing solutions to various brands in Asia, the Americas, and Europe. It o","Flex Ltd. provides manufacturing solutions to various brands in Asia, the Americas, and Europe. It o"
THO,"THOR Industries, Inc. (NYSE:THO)",4914214.0,"THOR Industries, Inc. designs, manufactures, and sells recreational vehicles (RVs), and related part","THOR Industries, Inc. (THOR) is a manufacturer of recreational vehicles (‘RVs’) in the world. The co",Fleet Management; Autonomous Vehicles,THO,NYSE:THO,"THOR Industries, Inc.",both,"THOR Industries, Inc. designs, manufactures, and sells recreational vehicles (RVs), and related part","THOR Industries, Inc. designs, manufactures, and sells recreational vehicles (RVs), and related part"
BCPC,Balchem Corporation (NASDAQGS:BCPC),4985754.0,"Balchem Corporation develops, manufactures, and markets specialty performance ingredients and produc","Balchem Corporation develops, manufactures, distributes, and markets specialty performance ingredien",Animal Feed; Environmental Consulting; Farming; Livestock; Organic; Nutraceutical; Pet Food and Supplies,BCPC,NASDAQGS:BCPC,Balchem Corporation,both,"Balchem Corporation develops, manufactures, and markets specialty performance ingredients and produc","Balchem Corporation develops, manufactures, and markets specialty performance ingredients and produc"
FITB,Fifth Third Bancorp (NASDAQGS:FITB),100260.0,"Fifth Third Bancorp operates as the bank holding company for Fifth Third Bank, National Association ",Fifth Third Bancorp (Fifth Third) operates as a diversified financial services company headquartered,Consumer Lending; Digital Brokerage,FITB,NASDAQGS:FITB,Fifth Third Bancorp,both,"Fifth Third Bancorp operates as the bank holding company for Fifth Third Bank, National Association ","Fifth Third Bancorp operates as the bank holding company for Fifth Third Bank, National Association "
SON,Sonoco Products Company (NYSE:SON),4063000.0,"Sonoco Products Company, together with its subsidiaries, designs, develops, manufactures, and sells ","Sonoco Products Company (Sonoco) operates as a global designer, developer, and manufacturer of a var",Green Consumer Goods; Packaging Services; Disposal and Recycling; Biomass Energy,SON,NYSE:SON,Sonoco Products Company,both,"Sonoco Products Company, together with its subsidiaries, designs, develops, manufactures, and sells ","Sonoco Products Company, together with its subsidiaries, designs, develops, manufactures, and sells "
