caps,sale,at,ap,bkvlps,ceq,ch,ci,cogs,dp,cik,fyear
276.665,872.457,909.531,130.036,6.2384,218.489,83.745,-74.011,616.53,16.821,742112.0,2021.0
0.0,93775.0,182018.0,11055.0,28.1567,74023.0,14487.0,23062.0,22294.0,7390.0,200406.0,2021.0
17116.0,23674.0,41890.0,3746.0,24.7794,17562.0,1336.0,2232.0,14764.0,845.0,833444.0,2021.0
2175.835,6918.734,10271.124,342.083,22.1079,3377.554,1434.61,2081.57,2502.838,317.352,319201.0,2021.0
23.9,4909.7,2894.2,685.3,33.9137,1336.2,112.7,132.6,3971.9,31.6,55135.0,2021.0
562.82,1841.441,2665.761,177.659,15.9017,1329.608,154.047,147.261,1165.141,126.488,55242.0,2021.0
4.483,168.872,118.773,27.316,12.7935,35.694,4.433,-6.168,141.883,2.769,55529.0,2021.0
0.0,518.698,361.846,92.823,11.4946,123.705,3.473,7.913,470.028,6.631,719733.0,2021.0
5.298,569.008,444.595,41.537,6.4995,239.67,24.336,7.259,365.386,21.194,55772.0,2021.0
0.0,1517.664,1601.631,154.636,17.6848,1095.237,362.788,366.66,806.842,19.81,56978.0,2021.0
342.252,2356.811,1932.089,104.025,18.8151,810.725,245.589,147.25,1401.493,39.349,57131.0,2021.0
0.0,1467.067,1101.285,110.338,30.6254,843.147,188.055,146.149,1043.172,42.427,57515.0,2021.0
22.118,417.733,256.157,21.089,14.5905,133.007,4.181,9.251,192.657,8.341,703604.0,2021.0
258.063,794.649,843.551,20.42,9.2656,54.565,26.112,87.069,360.671,42.841,58361.0,2021.0
557.9,5072.6,5307.3,614.1,12.3538,1648.0,361.7,416.6,3917.8,184.0,58492.0,2021.0
2742.244,9039.883,60404.11,15088.388,43.3346,10553.755,10755.133,1594.15,4315.905,165.369,96223.0,2021.0
893.0,7882.0,6026.0,435.0,-5.9764,-1518.0,1979.0,1338.0,3813.0,205.0,701985.0,2021.0
458.0,4553.0,2194.0,191.0,14.4215,1235.0,358.0,1350.0,2371.0,114.0,60519.0,2021.0
45.817,28.14,59.906,1.455,10.3114,54.743,29.016,14.638,17.568,0.576,61004.0,2021.0
102.0,36242.0,29086.0,6465.0,39.7352,11836.0,2948.0,1392.0,31097.0,1512.0,749098.0,2021.0
602.4,1720.2,1775.2,238.8,18.8955,662.4,75.4,6.1,1367.5,46.9,61986.0,2021.0
7221.0,5218.0,16994.0,1110.0,14.3822,10686.0,580.0,955.0,1636.0,2188.0,101778.0,2021.0
145.656,458.244,1188.361,35.781,14.4339,453.614,17.658,-39.804,342.467,72.044,62234.0,2021.0
1112.0,19820.0,34388.0,2389.0,21.8634,11009.0,1752.0,3709.0,14734.0,747.0,62709.0,2021.0
0.0,8375.0,5575.0,1045.0,-0.7421,-179.0,926.0,837.0,5357.0,151.0,62996.0,2021.0
9.184,12.443,37.919,0.58,1.217,23.59,5.596,2.63,7.049,1.188,63330.0,2021.0
3.347,20.213,97.509,2.633,26.8353,54.1,1.552,0.398,14.308,1.785,54187.0,2021.0
0.0,6317.9,12905.8,1064.2,16.4897,4411.0,351.7,792.2,3639.5,172.8,63754.0,2021.0
0.0,616.833,1595.926,125.317,30.174,732.021,1.491,89.755,229.117,106.695,752714.0,2021.0
1031.0,8297.0,15026.0,205.0,8.4315,2032.0,6497.0,3059.0,2195.0,178.0,64040.0,2021.0
228.42,14.345,117.694,2.958,4.3392,90.987,10.258,-5.261,4.367,3.703,64463.0,2021.0
12.59,85.278,179.462,3.105,11.4128,167.289,23.232,5.805,64.509,2.591,64472.0,2021.0
18.671,6.157,3.837,0.732,-1.4316,-11.042,1.569,0.093,3.568,0.704,225628.0,2021.0
0.0,184.335,707.369,7.897,74.7818,393.801,49.346,-10.579,42.715,25.068,724004.0,2021.0
0.0,70.936,53.913,0.0,2.3472,30.795,47.727,68.786,0.0,0.0,65172.0,2021.0
169.0,1163.6,1389.1,108.5,24.7441,913.8,172.0,69.3,863.9,52.6,65270.0,2021.0
90.501,242.005,177.85,20.665,8.6936,106.74,6.057,8.384,182.165,4.596,65312.0,2021.0
8.134,6.588,13.285,0.21,5.6882,12.224,1.371,2.855,1.281,1.374,66418.0,2021.0
27.967,67.507,1404.235,1331.57,1.5203,49.263,3.758,5.033,58.07,1.445,65596.0,2021.0
0.0,143.141,1020.015,21.125,20.9865,367.726,3.533,36.543,88.821,21.109,66004.0,2021.0
0.0,1400.182,2396.396,106.78,21.2192,830.819,140.895,54.953,730.12,49.814,66570.0,2021.0
6429.0,35355.0,47072.0,2994.0,26.3113,15046.0,4564.0,6899.0,16861.0,1915.0,66740.0,2021.0
261.6,2050.1,1427.0,325.8,8.6673,450.7,45.2,97.8,1685.8,54.8,67347.0,2021.0
987.0,8171.0,12189.0,1086.0,-0.2371,-40.0,1874.0,1317.0,3921.0,438.0,68505.0,2021.0
18536.1,17886.3,54842.8,1056.1,16.943,20492.7,701.2,-2155.4,7008.2,3211.7,1792044.0,2021.0
42.447,18.871,11.374,0.736,0.647,8.325,5.918,-4.557,15.555,0.339,73290.0,2021.0
18.201,114.035,122.551,6.095,5.0345,92.388,34.806,15.413,61.602,1.685,69633.0,2021.0
62.307,114.882,78.516,6.381,-13.3628,-54.988,50.063,13.596,70.82,1.054,69733.0,2021.0
232.167,990.46,1403.396,22.488,58.4393,903.004,107.607,135.635,931.92,40.672,1047335.0,2021.0
4877.0,19485.0,27579.0,1423.0,9.5905,1028.0,2364.0,1524.0,16412.0,855.0,70318.0,2021.0
13.743,355.777,420.398,30.33,50.7843,357.623,109.805,25.52,288.617,2.978,80172.0,2021.0
29.824,17.065,20.425,0.358,0.5716,6.129,12.382,3.364,6.332,0.296,315958.0,2021.0
