cik,tic,Year,GICS_Sector
876427,MNRO,2021,25.0
55242,KMT,2021,20.0
1395942,KAR,2021,20.0
354190,AJG,2021,40.0
866787,AZO,2021,25.0
1390777,BK,2021,40.0
49071,HUM,2021,35.0
1800,ABT,2021,35.0
723254,CTAS,2021,20.0
1321646,KRA,2021,15.0
1396033,LL,2021,25.0
1597672,RYAM,2021,15.0
760498,BANF,2021,40.0
78003,PFE,2021,35.0
71829,NR,2021,10.0
1001385,NWPX,2021,20.0
1365135,WU,2021,45.0
1124610,VMW,2021,45.0
794367,M,2021,25.0
1090425,LAMR,2021,60.0
1060349,GAMI,2021,40.0
14707,CAL,2021,25.0
1535929,VOYA,2021,40.0
1120193,NDAQ,2021,40.0
861842,CATY,2021,40.0
861878,SRCL,2021,20.0
886982,GS,2021,40.0
10795,BDX,2021,35.0
1699150,IR,2021,20.0
1142750,AMN,2021,35.0
91576,KEY,2021,40.0
814453,NWL,2021,25.0
1418135,KDP,2021,30.0
1528849,RH,2021,25.0
1109354,BRKR,2021,35.0
107140,WLY,2021,50.0
45876,HSC,2021,20.0
723125,MU,2021,45.0
1637207,PLNT,2021,25.0
764622,PNW,2021,55.0
1770450,XRX,2021,45.0
1102934,CCMP,2021,45.0
1393311,PSA,2021,60.0
763532,LYTS,2021,20.0
1701605,BKR,2021,10.0
102752,VSEC,2021,20.0
1783400,ECOL,2021,20.0
45012,HAL,2021,10.0
1356090,PGEN,2021,35.0
918646,EXP,2021,15.0
315213,RHI,2021,20.0
1616707,W,2021,25.0
1525769,PLAY,2021,25.0
1613103,MDT,2021,35.0
1585689,HLT,2021,25.0
1364885,SPR,2021,20.0
82811,RRX,2021,20.0
1477294,ST,2021,20.0
320335,GL,2021,40.0
1518715,HMST,2021,40.0
1016281,CSV,2021,25.0
726728,O,2021,60.0
877422,SPTN,2021,30.0
39311,IBCP,2021,40.0
1141391,MA,2021,45.0
1316835,BLDR,2021,20.0
877212,ZBRA,2021,45.0
1169445,CPSI,2021,35.0
949157,CENX,2021,15.0
1647088,WSC,2021,20.0
712515,EA,2021,50.0
1687187,METC,2021,15.0
110621,RPM,2021,15.0
98677,TR,2021,30.0
769397,ADSK,2021,45.0
768835,BIG,2021,25.0
1034670,ALV,2021,25.0
93676,SCX,2021,20.0
912752,SBGI,2021,50.0
80035,PLPC,2021,20.0
1305323,ZVOI,2021,25.0
4977,AFL,2021,40.0
75362,PCAR,2021,20.0
1006837,VATE,2021,20.0
1517175,CHEF,2021,30.0
1096056,LXFR,2021,20.0
1124198,FLR,2021,20.0
933136,COOP,2021,40.0
916789,HELE,2021,25.0
24545,TAP,2021,30.0
1141103,CCRN,2021,35.0
860748,KMPR,2021,40.0
1376339,MDXG,2021,35.0
873860,OCN,2021,40.0
1498710,SAVE,2021,20.0
15615,MTZ,2021,20.0
1136869,ZBH,2021,35.0
1157408,LRN,2021,25.0
1058090,CMG,2021,25.0
879169,INCY,2021,35.0
69891,FIZZ,2021,30.0
1063761,SPG,2021,60.0
1604821,NTRA,2021,35.0
7789,ASB,2021,40.0
354950,HD,2021,25.0
91142,AOS,2021,20.0
48287,HNI,2021,20.0
921738,PENN,2021,25.0
1546417,BLMN,2021,25.0
789570,MGM,2021,25.0
1046568,PRDO,2021,25.0
19745,CPK,2021,55.0
1050915,PWR,2021,20.0
18498,GCO,2021,25.0
90896,SKY,2021,25.0
1418100,AVYAQ,2021,45.0
833079,MTH,2021,25.0
1060391,RSG,2021,20.0
1324404,CF,2021,15.0
884219,VVI,2021,20.0
917491,FARO,2021,45.0
1354327,PGTI,2021,20.0
1116942,TTMI,2021,45.0
92230,TFC,2021,40.0
16099,LUB,2021,25.0
832988,SIG,2021,25.0
1069202,LII,2021,20.0
1315257,KOP,2021,15.0
789933,NC,2021,10.0
763901,BPOP,2021,40.0
910638,DDD,2021,20.0
874499,GPOR,2021,10.0
30305,DCO,2021,20.0
1101302,ENTG,2021,45.0
23217,CAG,2021,30.0
933034,STRT,2021,25.0
29669,RRD,2021,20.0
35214,FOE,2021,15.0
815097,CCL,2021,25.0
1040971,SLG,2021,60.0
791963,OPY,2021,40.0
1543151,UBER,2021,20.0
16160,CALM,2021,30.0
915840,BZH,2021,25.0
1039065,OSIS,2021,45.0
